"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2023/01/01 00:00:00","CAPITL","1061","5"
"2023/01/01 00:00:00","CENTRL","1408","5"
"2023/01/01 00:00:00","DUNWOD","524","5"
"2023/01/01 00:00:00","GENESE","854","5"
"2023/01/01 00:00:00","HUD VL","835","5"
"2023/01/01 00:00:00","LONGIL","1777","5"
"2023/01/01 00:00:00","MHK VL","567","5"
"2023/01/01 00:00:00","MILLWD","237","5"
"2023/01/01 00:00:00","N.Y.C.","4413","5"
"2023/01/01 00:00:00","NORTH","664","5"
"2023/01/01 00:00:00","WEST","1336","5"
"2023/01/01 01:00:00","CAPITL","1024","6"
"2023/01/01 01:00:00","CENTRL","1369","6"
"2023/01/01 01:00:00","DUNWOD","508","6"
"2023/01/01 01:00:00","GENESE","825","6"
"2023/01/01 01:00:00","HUD VL","793","6"
"2023/01/01 01:00:00","LONGIL","1678","6"
"2023/01/01 01:00:00","MHK VL","545","6"
"2023/01/01 01:00:00","MILLWD","228","6"
"2023/01/01 01:00:00","N.Y.C.","4272","6"
"2023/01/01 01:00:00","NORTH","659","6"
"2023/01/01 01:00:00","WEST","1302","6"
"2023/01/01 02:00:00","CAPITL","1002","7"
"2023/01/01 02:00:00","CENTRL","1345","7"
"2023/01/01 02:00:00","DUNWOD","490","7"
"2023/01/01 02:00:00","GENESE","807","7"
"2023/01/01 02:00:00","HUD VL","767","7"
"2023/01/01 02:00:00","LONGIL","1609","7"
"2023/01/01 02:00:00","MHK VL","529","7"
"2023/01/01 02:00:00","MILLWD","222","7"
"2023/01/01 02:00:00","N.Y.C.","4155","7"
"2023/01/01 02:00:00","NORTH","651","7"
"2023/01/01 02:00:00","WEST","1280","7"
"2023/01/01 03:00:00","CAPITL","989","8"
"2023/01/01 03:00:00","CENTRL","1334","8"
"2023/01/01 03:00:00","DUNWOD","476","8"
"2023/01/01 03:00:00","GENESE","800","8"
"2023/01/01 03:00:00","HUD VL","757","8"
"2023/01/01 03:00:00","LONGIL","1563","8"
"2023/01/01 03:00:00","MHK VL","523","8"
"2023/01/01 03:00:00","MILLWD","218","8"
"2023/01/01 03:00:00","N.Y.C.","4061","8"
"2023/01/01 03:00:00","NORTH","647","8"
"2023/01/01 03:00:00","WEST","1268","8"
"2023/01/01 04:00:00","CAPITL","988","9"
"2023/01/01 04:00:00","CENTRL","1338","9"
"2023/01/01 04:00:00","DUNWOD","471","9"
"2023/01/01 04:00:00","GENESE","801","9"
"2023/01/01 04:00:00","HUD VL","754","9"
"2023/01/01 04:00:00","LONGIL","1550","9"
"2023/01/01 04:00:00","MHK VL","526","9"
"2023/01/01 04:00:00","MILLWD","217","9"
"2023/01/01 04:00:00","N.Y.C.","4010","9"
"2023/01/01 04:00:00","NORTH","650","9"
"2023/01/01 04:00:00","WEST","1266","9"
"2023/01/01 05:00:00","CAPITL","989","10"
"2023/01/01 05:00:00","CENTRL","1347","10"
"2023/01/01 05:00:00","DUNWOD","465","10"
"2023/01/01 05:00:00","GENESE","809","10"
"2023/01/01 05:00:00","HUD VL","759","10"
"2023/01/01 05:00:00","LONGIL","1547","10"
"2023/01/01 05:00:00","MHK VL","533","10"
"2023/01/01 05:00:00","MILLWD","215","10"
"2023/01/01 05:00:00","N.Y.C.","3998","10"
"2023/01/01 05:00:00","NORTH","647","10"
"2023/01/01 05:00:00","WEST","1263","10"
"2023/01/01 06:00:00","CAPITL","1005","11"
"2023/01/01 06:00:00","CENTRL","1380","11"
"2023/01/01 06:00:00","DUNWOD","466","11"
"2023/01/01 06:00:00","GENESE","829","11"
"2023/01/01 06:00:00","HUD VL","781","11"
"2023/01/01 06:00:00","LONGIL","1571","11"
"2023/01/01 06:00:00","MHK VL","555","11"
"2023/01/01 06:00:00","MILLWD","221","11"
"2023/01/01 06:00:00","N.Y.C.","4030","11"
"2023/01/01 06:00:00","NORTH","650","11"
"2023/01/01 06:00:00","WEST","1281","11"
"2023/01/01 07:00:00","CAPITL","1041","12"
"2023/01/01 07:00:00","CENTRL","1434","12"
"2023/01/01 07:00:00","DUNWOD","465","12"
"2023/01/01 07:00:00","GENESE","858","12"
"2023/01/01 07:00:00","HUD VL","808","12"
"2023/01/01 07:00:00","LONGIL","1580","12"
"2023/01/01 07:00:00","MHK VL","582","12"
"2023/01/01 07:00:00","MILLWD","235","12"
"2023/01/01 07:00:00","N.Y.C.","4066","12"
"2023/01/01 07:00:00","NORTH","665","12"
"2023/01/01 07:00:00","WEST","1313","12"
"2023/01/01 08:00:00","CAPITL","1097","13"
"2023/01/01 08:00:00","CENTRL","1480","13"
"2023/01/01 08:00:00","DUNWOD","473","13"
"2023/01/01 08:00:00","GENESE","881","13"
"2023/01/01 08:00:00","HUD VL","826","13"
"2023/01/01 08:00:00","LONGIL","1572","13"
"2023/01/01 08:00:00","MHK VL","622","13"
"2023/01/01 08:00:00","MILLWD","250","13"
"2023/01/01 08:00:00","N.Y.C.","4132","13"
"2023/01/01 08:00:00","NORTH","680","13"
"2023/01/01 08:00:00","WEST","1327","13"
"2023/01/01 09:00:00","CAPITL","1145","14"
"2023/01/01 09:00:00","CENTRL","1519","14"
"2023/01/01 09:00:00","DUNWOD","484","14"
"2023/01/01 09:00:00","GENESE","908","14"
"2023/01/01 09:00:00","HUD VL","818","14"
"2023/01/01 09:00:00","LONGIL","1574","14"
"2023/01/01 09:00:00","MHK VL","656","14"
"2023/01/01 09:00:00","MILLWD","262","14"
"2023/01/01 09:00:00","N.Y.C.","4227","14"
"2023/01/01 09:00:00","NORTH","692","14"
"2023/01/01 09:00:00","WEST","1357","14"
"2023/01/01 10:00:00","CAPITL","1170","15"
"2023/01/01 10:00:00","CENTRL","1530","15"
"2023/01/01 10:00:00","DUNWOD","492","15"
"2023/01/01 10:00:00","GENESE","921","15"
"2023/01/01 10:00:00","HUD VL","806","15"
"2023/01/01 10:00:00","LONGIL","1576","15"
"2023/01/01 10:00:00","MHK VL","671","15"
"2023/01/01 10:00:00","MILLWD","263","15"
"2023/01/01 10:00:00","N.Y.C.","4315","15"
"2023/01/01 10:00:00","NORTH","698","15"
"2023/01/01 10:00:00","WEST","1372","15"
"2023/01/01 11:00:00","CAPITL","1182","16"
"2023/01/01 11:00:00","CENTRL","1539","16"
"2023/01/01 11:00:00","DUNWOD","500","16"
"2023/01/01 11:00:00","GENESE","940","16"
"2023/01/01 11:00:00","HUD VL","810","16"
"2023/01/01 11:00:00","LONGIL","1601","16"
"2023/01/01 11:00:00","MHK VL","688","16"
"2023/01/01 11:00:00","MILLWD","267","16"
"2023/01/01 11:00:00","N.Y.C.","4395","16"
"2023/01/01 11:00:00","NORTH","703","16"
"2023/01/01 11:00:00","WEST","1384","16"
"2023/01/01 12:00:00","CAPITL","1196","17"
"2023/01/01 12:00:00","CENTRL","1548","17"
"2023/01/01 12:00:00","DUNWOD","515","17"
"2023/01/01 12:00:00","GENESE","960","17"
"2023/01/01 12:00:00","HUD VL","825","17"
"2023/01/01 12:00:00","LONGIL","1670","17"
"2023/01/01 12:00:00","MHK VL","685","17"
"2023/01/01 12:00:00","MILLWD","268","17"
"2023/01/01 12:00:00","N.Y.C.","4446","17"
"2023/01/01 12:00:00","NORTH","707","17"
"2023/01/01 12:00:00","WEST","1396","17"
"2023/01/01 13:00:00","CAPITL","1210","18"
"2023/01/01 13:00:00","CENTRL","1546","18"
"2023/01/01 13:00:00","DUNWOD","521","18"
"2023/01/01 13:00:00","GENESE","964","18"
"2023/01/01 13:00:00","HUD VL","814","18"
"2023/01/01 13:00:00","LONGIL","1728","18"
"2023/01/01 13:00:00","MHK VL","676","18"
"2023/01/01 13:00:00","MILLWD","268","18"
"2023/01/01 13:00:00","N.Y.C.","4495","18"
"2023/01/01 13:00:00","NORTH","712","18"
"2023/01/01 13:00:00","WEST","1404","18"
"2023/01/01 14:00:00","CAPITL","1235","19"
"2023/01/01 14:00:00","CENTRL","1568","19"
"2023/01/01 14:00:00","DUNWOD","532","19"
"2023/01/01 14:00:00","GENESE","975","19"
"2023/01/01 14:00:00","HUD VL","845","19"
"2023/01/01 14:00:00","LONGIL","1795","19"
"2023/01/01 14:00:00","MHK VL","680","19"
"2023/01/01 14:00:00","MILLWD","270","19"
"2023/01/01 14:00:00","N.Y.C.","4565","19"
"2023/01/01 14:00:00","NORTH","711","19"
"2023/01/01 14:00:00","WEST","1419","19"
"2023/01/01 15:00:00","CAPITL","1274","20"
"2023/01/01 15:00:00","CENTRL","1616","20"
"2023/01/01 15:00:00","DUNWOD","547","20"
"2023/01/01 15:00:00","GENESE","1002","20"
"2023/01/01 15:00:00","HUD VL","932","20"
"2023/01/01 15:00:00","LONGIL","1927","20"
"2023/01/01 15:00:00","MHK VL","705","20"
"2023/01/01 15:00:00","MILLWD","276","20"
"2023/01/01 15:00:00","N.Y.C.","4641","20"
"2023/01/01 15:00:00","NORTH","713","20"
"2023/01/01 15:00:00","WEST","1447","20"
"2023/01/01 16:00:00","CAPITL","1349","21"
"2023/01/01 16:00:00","CENTRL","1709","21"
"2023/01/01 16:00:00","DUNWOD","580","21"
"2023/01/01 16:00:00","GENESE","1063","21"
"2023/01/01 16:00:00","HUD VL","1024","21"
